code,code_name,信号日期,当日收盘价,5日均线,20日均线,60日均线,当日J值,前一日J值,5日收益率,10日收益率,30日收益率
sh.600600,青岛啤酒,2024-04-02,81.01,83.05,83.2,77.2,-2.5,15.77,-6.04,-3.31,6.67
sz.001979,招商蛇口,2024-04-02,9.04,9.46,9.29,8.98,-3.31,20.78,-6.75,-7.63,16.92
sz.002938,鹏鼎控股,2024-04-02,22.41,22.89,22.87,20.72,-4.95,3.21,-5.18,-2.41,26.86
sh.600183,生益科技,2024-04-03,16.88,17.27,17.71,16.67,-1.99,7.13,-3.26,-3.2,20.44
sh.600584,长电科技,2024-04-03,27.18,27.91,28.27,26.26,-6.34,1.79,-6.07,-9.71,-4.23
sh.600803,新奥股份,2024-04-03,18.77,19.02,19.18,18.27,-0.61,13.51,1.39,1.76,-1.81
sh.601878,浙商证券,2024-04-03,10.49,10.96,10.7,10.18,-11.65,8.95,-6.67,-4.29,11.53
sh.603019,中科曙光,2024-04-03,46.05,47.82,51.11,42.0,-2.7,5.29,-2.28,-3.0,-4.69
sh.688111,金山办公,2024-04-03,285.0,296.47,300.6,265.71,-1.98,4.61,3.86,-3.07,1.05
sz.300442,润泽科技,2024-04-03,26.53,29.43,27.67,24.25,-5.34,15.36,4.75,7.05,3.17
sh.601360,三六零,2024-04-08,8.31,8.61,9.03,8.29,-1.58,12.1,1.68,-5.05,0.0
sh.603501,韦尔股份,2024-04-08,94.5,97.57,97.31,92.39,-0.05,24.9,1.89,0.02,1.59
sh.688256,寒武纪,2024-04-08,158.97,168.0,175.38,147.3,-3.42,5.71,-3.37,-13.03,15.56
sz.000768,中航西飞,2024-04-08,20.7,21.29,21.76,20.68,-1.09,13.99,-0.05,5.8,16.04
sz.000858,五粮液,2024-04-09,146.48,152.23,152.22,139.36,-3.33,14.24,-1.03,0.38,3.19
sz.000977,浪潮信息,2024-04-09,38.47,40.64,41.06,35.73,-4.95,4.23,-4.68,-9.2,-1.43
sh.600016,民生银行,2024-04-10,3.97,4.01,4.0,3.96,-2.19,16.6,1.51,0.0,0.25
sh.600160,巨化股份,2024-04-10,21.77,22.45,22.06,19.09,-13.3,1.5,8.27,1.06,10.56
sh.600406,国电南瑞,2024-04-10,23.48,23.78,24.25,22.87,-4.69,1.67,8.82,9.8,-2.04
sh.603296,华勤技术,2024-04-10,71.67,75.07,75.6,69.52,-1.02,15.79,0.46,-3.36,7.77
sh.603369,今世缘,2024-04-10,55.39,57.38,57.53,51.21,-10.16,2.57,1.99,5.49,-2.27
sh.688012,中微公司,2024-04-10,142.99,147.85,151.98,139.24,-1.37,8.39,-0.8,-5.22,-9.5
sh.688256,寒武纪,2024-04-10,150.09,159.92,173.22,148.22,-0.15,5.17,0.01,2.07,17.26
sz.000001,平安银行,2024-04-10,10.28,10.42,10.46,10.01,-6.65,11.61,3.31,2.43,11.96
sz.000568,泸州老窖,2024-04-10,175.7,183.55,185.97,168.55,-6.41,0.62,0.68,3.64,2.86
