,code,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5日均线,D1_20日均线,D1_60日均线,D1_J值,D2_J值,D1_WR14,D2_WR14,D1_WR28,D2_WR28,D1_MACD_DIF,D1_MACD_DEA,D1_MACD,D2_MACD_DIF,D2_MACD_DEA,D2_MACD,D1_BOLL中轨,D1_BOLL上轨,D1_BOLL下轨,D2_BOLL中轨,D2_BOLL上轨,D2_BOLL下轨,持仓天数,code_name,5日收益率,10日收益率,30日收益率
0,sh.600000,2024-03-04,2024-03-05,7.07,7.16,1.27,7.11,7.03,6.76,-4.33,14.23,-50.98,-33.33,-26.8,-17.53,0.11,0.12,-0.02,0.1,0.11,-0.02,7.03,7.33,6.73,7.04,7.34,6.75,1,浦发银行,,,
2,sh.600009,2023-02-07,2023-02-08,60.32,60.85,0.88,60.62,59.9,,-0.44,11.94,-51.52,-44.82,-42.48,-36.16,1.01,1.13,-0.25,0.96,1.1,-0.27,59.9,64.24,55.57,60.12,64.15,56.09,1,上海机场,,,
3,sh.600009,2024-10-16,2024-10-21,34.26,34.98,2.1,35.02,33.48,33.72,-7.4,9.74,-68.49,-73.39,-63.9,-58.15,0.72,0.62,0.18,0.56,0.6,-0.08,33.48,38.76,28.21,34.0,38.91,29.09,5,上海机场,,,
4,sh.600010,2024-10-17,2024-10-21,1.58,1.61,1.9,1.63,1.54,1.47,-7.22,2.9,-61.54,-64.44,-60.38,-54.72,0.06,0.06,0.0,0.05,0.06,-0.01,1.54,1.82,1.26,1.56,1.83,1.3,4,包钢股份,,,
8,sh.600016,2023-05-19,2023-05-22,4.03,4.05,0.5,4.06,3.92,3.6,-5.5,2.38,-52.69,-51.09,-45.79,-43.93,0.15,0.16,-0.02,0.14,0.15,-0.03,3.92,4.49,3.34,3.94,4.49,3.39,3,民生银行,,,
11,sh.600018,2023-08-09,2023-08-10,5.33,5.38,0.94,5.37,5.33,5.31,-3.78,12.06,-58.33,-39.13,-43.75,-28.13,0.03,0.03,0.0,0.03,0.03,0.0,5.33,5.47,5.18,5.33,5.47,5.19,1,上港集团,,,
12,sh.600018,2024-10-17,2024-10-18,6.08,6.21,2.14,6.22,6.03,6.11,-6.19,0.34,-68.15,-63.95,-67.3,-59.12,0.06,0.05,0.02,0.06,0.05,0.02,6.03,6.66,5.39,6.05,6.67,5.43,1,上港集团,,,
13,sh.600019,2023-02-08,2023-02-09,6.06,6.08,0.33,6.12,6.04,,-1.12,2.36,-63.64,-72.22,-34.15,-31.71,0.11,0.12,-0.03,0.1,0.12,-0.04,6.04,6.33,5.76,6.06,6.31,5.8,1,宝钢股份,,,
17,sh.600025,2023-08-30,2023-08-31,7.18,7.25,0.97,7.2,7.17,7.11,-0.85,15.97,-56.52,-41.3,-47.27,-34.55,0.03,0.04,-0.01,0.04,0.04,-0.0,7.17,7.32,7.02,7.18,7.32,7.04,1,华能水电,,,
18,sh.600026,2023-06-28,2023-06-30,12.15,12.64,4.03,12.45,12.07,12.5,-1.32,18.21,-53.02,-43.78,-53.02,-36.58,0.13,0.1,0.06,0.11,0.1,0.02,12.07,13.76,10.37,12.18,13.79,10.57,2,中远海能,,,
20,sh.600027,2024-10-16,2024-10-21,5.53,5.54,0.18,5.73,5.46,5.59,-3.02,4.04,-67.1,-84.43,-61.9,-61.31,0.08,0.06,0.04,0.03,0.05,-0.03,5.46,6.21,4.71,5.53,6.17,4.89,5,华电国际,,,
22,sh.600029,2024-06-03,2024-06-04,5.83,5.92,1.54,5.89,5.81,5.7,-3.84,12.28,-55.0,-40.0,-47.14,-36.92,0.07,0.07,-0.01,0.07,0.07,-0.01,5.81,6.15,5.48,5.83,6.16,5.5,1,南方航空,,,
23,sh.600029,2024-10-15,2024-10-21,5.76,5.88,2.08,5.84,5.69,5.74,-2.68,17.6,-71.0,-77.84,-71.0,-65.0,0.08,0.07,0.02,0.06,0.06,-0.01,5.69,6.42,4.96,5.76,6.46,5.06,6,南方航空,,,
24,sh.600030,2024-05-16,2024-05-17,18.78,19.19,2.18,18.92,18.66,19.79,-10.88,50.29,-50.34,-23.4,-32.74,-14.6,-0.08,-0.15,0.14,-0.05,-0.13,0.16,18.66,19.63,17.7,18.74,19.6,17.88,1,中信证券,,,
25,sh.600030,2024-10-17,2024-10-18,26.16,27.91,6.69,26.98,23.65,20.58,-4.03,2.31,-49.05,-36.92,-47.49,-35.22,2.15,2.02,0.26,2.15,2.05,0.21,23.65,32.04,15.27,24.1,32.39,15.8,1,中信证券,,,
26,sh.600030,2024-11-19,2024-11-20,31.3,31.74,1.41,31.74,30.39,24.75,-5.19,0.35,-55.87,-54.91,-49.81,-45.59,1.75,2.06,-0.62,1.64,1.97,-0.67,30.39,35.95,24.83,30.6,36.02,25.17,1,中信证券,,,
27,sh.600031,2023-09-18,2023-09-22,16.32,16.38,0.37,16.47,16.12,16.57,-7.14,34.79,-47.7,-59.17,-39.15,-36.32,0.06,0.02,0.08,-0.0,0.01,-0.03,16.12,17.42,14.82,16.3,17.29,15.31,4,三一重工,,,
28,sh.600031,2024-10-17,2024-10-22,17.73,17.8,0.39,18.15,17.2,16.25,-5.25,1.47,-61.46,-71.5,-53.25,-52.02,0.62,0.6,0.05,0.49,0.57,-0.15,17.2,19.8,14.59,17.56,19.7,15.41,5,三一重工,,,
29,sh.600031,2025-03-21,2025-03-24,19.59,19.96,1.89,19.96,19.4,17.33,-12.22,5.34,-52.02,-50.97,-29.07,-20.52,0.71,0.82,-0.21,0.68,0.79,-0.23,19.4,21.36,17.45,19.51,21.34,17.68,3,三一重工,,,
31,sh.600039,2024-10-29,2024-10-31,7.47,7.65,2.41,7.55,7.4,6.37,-4.77,13.07,-63.22,-70.0,-43.08,-39.62,0.4,0.47,-0.13,0.33,0.42,-0.18,7.4,8.87,5.92,7.53,8.74,6.31,2,四川路桥,,,
32,sh.600039,2025-03-31,2025-04-01,7.94,8.0,0.76,8.08,7.86,7.36,-2.61,3.86,-55.0,-60.32,-29.33,-27.54,0.21,0.23,-0.03,0.2,0.22,-0.05,7.86,8.51,7.21,7.89,8.5,7.28,1,四川路桥,,,
33,sh.600048,2024-05-30,2024-06-04,10.22,10.56,3.33,10.44,10.1,9.31,-7.23,20.88,-68.16,-63.94,-42.07,-33.5,0.44,0.48,-0.08,0.34,0.42,-0.15,10.1,11.73,8.47,10.3,11.63,8.97,5,保利发展,,,
34,sh.600050,2024-10-17,2024-10-21,5.07,5.16,1.78,5.15,4.9,4.75,-1.68,7.85,-57.75,-62.39,-56.16,-50.0,0.15,0.14,0.03,0.14,0.14,0.0,4.9,5.64,4.17,4.97,5.66,4.28,4,中国联通,,,
35,sh.600050,2025-03-03,2025-03-06,6.22,6.53,4.98,6.42,5.97,5.39,-9.64,26.33,-46.71,-47.06,-32.87,-18.52,0.35,0.35,-0.01,0.29,0.33,-0.07,5.97,7.23,4.71,6.17,7.13,5.21,3,中国联通,,,
36,sh.600061,2023-02-08,2023-02-09,6.71,6.82,1.64,6.8,6.65,,-11.04,2.73,-54.05,-44.62,-38.83,-28.16,0.14,0.15,-0.02,0.14,0.15,-0.03,6.65,7.15,6.14,6.68,7.15,6.2,1,国投资本,,,
38,sh.600061,2023-11-22,2023-11-23,7.01,7.06,0.71,7.07,6.98,7.03,-1.28,7.19,-48.08,-54.05,-32.05,-25.64,0.05,0.04,0.02,0.05,0.04,0.02,6.98,7.25,6.7,6.99,7.25,6.73,1,国投资本,,,
39,sh.600061,2024-03-07,2024-03-11,6.72,6.78,0.89,6.79,6.69,6.67,-5.58,9.03,-55.36,-56.82,-47.37,-43.42,0.05,0.05,-0.01,0.04,0.05,-0.01,6.69,7.07,6.31,6.72,7.05,6.38,4,国投资本,,,
40,sh.600061,2024-10-17,2024-10-22,7.33,7.55,3.0,7.5,6.94,6.15,-9.08,10.42,-53.92,-57.89,-48.67,-42.56,0.47,0.48,-0.03,0.41,0.45,-0.09,6.94,8.93,4.95,7.22,8.94,5.5,5,国投资本,,,
41,sh.600066,2023-03-14,2023-03-15,9.86,10.18,3.25,10.03,9.82,,-3.89,15.55,-67.14,-44.29,-37.3,-24.6,0.4,0.48,-0.15,0.39,0.46,-0.14,9.82,10.88,8.77,9.91,10.78,9.04,1,宇通客车,,,
45,sh.600085,2024-10-16,2024-10-21,36.02,39.22,8.88,37.29,35.33,35.91,-5.85,28.39,-68.02,-53.53,-66.43,-45.69,0.84,0.72,0.23,0.79,0.72,0.15,35.33,42.82,27.83,36.06,43.3,28.83,5,同仁堂,,,
48,sh.600089,2024-10-16,2024-10-21,12.92,13.18,2.01,13.4,12.88,12.94,-12.74,10.11,-74.3,-82.25,-72.6,-66.67,0.24,0.23,0.02,0.14,0.19,-0.11,12.88,14.84,10.93,13.03,14.82,11.25,5,特变电工,,,
49,sh.600104,2024-10-16,2024-10-22,13.07,13.12,0.38,13.5,12.82,13.34,-7.58,14.99,-68.34,-83.1,-65.5,-64.41,0.24,0.18,0.12,0.11,0.15,-0.09,12.82,14.92,10.72,13.08,14.85,11.31,6,上汽集团,,,
50,sh.600111,2023-02-10,2023-02-14,28.56,29.22,2.31,28.94,28.19,,-5.96,12.92,-61.76,-46.83,-44.17,-33.5,0.77,0.82,-0.11,0.69,0.78,-0.17,28.19,30.94,25.45,28.44,30.99,25.89,4,北方稀土,,,
51,sh.600111,2024-10-17,2024-10-21,18.77,19.9,6.02,19.42,18.33,17.41,-9.1,11.81,-63.74,-49.56,-58.33,-41.52,0.73,0.73,-0.0,0.69,0.72,-0.05,18.33,22.07,14.59,18.64,22.23,15.04,4,北方稀土,,,
53,sh.600150,2023-03-17,2023-03-21,25.1,25.12,0.08,25.53,24.94,,-2.65,0.9,-61.19,-73.7,-52.77,-52.36,0.5,0.57,-0.15,0.36,0.5,-0.28,24.94,27.29,22.59,25.1,27.19,23.01,4,中国船舶,,,
56,sh.600160,2024-03-11,2024-03-15,19.75,21.13,6.99,20.28,19.5,17.23,-0.39,67.52,-69.57,-8.8,-24.5,-3.37,0.96,1.06,-0.2,0.68,0.84,-0.32,19.5,22.3,16.7,20.01,21.44,18.58,4,巨化股份,,,
58,sh.600160,2024-10-16,2024-10-21,19.72,20.61,4.51,20.21,18.51,18.18,-1.51,22.09,-58.29,-55.02,-46.63,-37.95,0.92,0.77,0.3,0.77,0.77,0.0,18.51,23.18,13.84,19.17,23.06,15.28,5,巨化股份,,,
60,sh.600161,2023-04-21,2023-04-26,26.59,26.72,0.49,27.11,26.05,24.29,-9.68,10.57,-37.57,-67.04,-30.02,-29.48,0.8,0.84,-0.07,0.64,0.76,-0.25,26.05,28.76,23.34,26.42,28.64,24.2,5,天坛生物,,,
62,sh.600161,2025-02-13,2025-02-14,20.31,20.67,1.77,20.63,20.18,20.79,-12.81,10.72,-43.24,-31.41,-40.17,-25.1,0.08,0.03,0.1,0.08,0.04,0.09,20.18,21.74,18.63,20.24,21.78,18.7,1,天坛生物,,,
63,sh.600176,2024-03-08,2024-03-11,9.77,9.87,1.02,9.88,9.77,9.62,-5.24,5.8,-84.91,-72.92,-26.16,-20.35,0.1,0.11,-0.02,0.1,0.11,-0.02,9.77,10.45,9.09,9.81,10.4,9.23,3,中国巨石,,,
64,sh.600176,2024-10-16,2024-10-21,10.38,10.44,0.58,10.74,10.11,10.12,-6.7,5.47,-66.84,-76.92,-61.84,-60.39,0.28,0.25,0.07,0.18,0.22,-0.09,10.11,12.03,8.18,10.28,12.02,8.55,5,中国巨石,,,
66,sh.600183,2024-05-24,2024-05-27,19.8,20.15,1.77,20.48,19.57,17.93,-1.41,3.67,-84.54,-67.63,-29.56,-23.65,0.83,0.88,-0.1,0.77,0.86,-0.17,19.57,22.45,16.68,19.76,22.19,17.33,3,生益科技,,,
67,sh.600183,2024-10-17,2024-10-21,18.69,19.79,5.89,19.07,18.48,18.79,-10.3,19.92,-67.04,-55.2,-65.58,-48.53,0.36,0.35,0.02,0.39,0.36,0.06,18.48,21.71,15.25,18.74,21.88,15.6,4,生益科技,,,
68,sh.600188,2023-09-27,2023-10-09,20.17,20.8,3.12,20.6,19.96,20.1,-2.38,8.58,-63.1,-41.38,-33.21,-21.86,0.52,0.48,0.09,0.47,0.47,-0.0,19.96,22.17,17.75,20.22,21.88,18.57,12,兖矿能源,,,
69,sh.600188,2024-10-17,2024-10-18,15.55,15.85,1.93,15.77,14.83,14.57,-1.56,2.63,-56.18,-58.06,-48.79,-43.6,0.45,0.36,0.17,0.44,0.38,0.12,14.83,17.51,12.15,14.98,17.52,12.43,1,兖矿能源,,,
70,sh.600196,2024-05-16,2024-05-20,23.72,23.81,0.38,23.9,23.42,23.84,-0.69,2.45,-41.67,-43.78,-37.97,-34.18,0.15,0.1,0.11,0.14,0.11,0.04,23.42,24.76,22.08,23.54,24.75,22.34,4,复星医药,,,
71,sh.600196,2024-10-17,2024-10-21,24.65,25.42,3.12,25.26,24.42,23.49,-14.09,2.46,-70.52,-67.47,-67.72,-58.71,0.72,0.77,-0.11,0.65,0.73,-0.17,24.42,28.58,20.25,24.71,28.68,20.74,4,复星医药,,,
73,sh.600219,2024-10-17,2024-10-21,4.11,4.17,1.46,4.2,3.96,3.73,-1.48,11.34,-63.64,-67.37,-50.72,-46.38,0.15,0.14,0.02,0.13,0.14,-0.01,3.96,4.59,3.33,4.02,4.57,3.47,4,南山铝业,,,
74,sh.600233,2024-10-17,2024-10-18,16.75,17.18,2.57,17.03,16.41,15.29,-0.43,6.8,-67.15,-57.66,-60.22,-50.97,0.47,0.5,-0.06,0.46,0.49,-0.06,16.41,18.22,14.6,16.5,18.29,14.71,1,圆通速递,,,
75,sh.600276,2023-11-14,2023-11-20,47.04,47.49,0.96,48.08,46.22,43.76,-8.25,6.38,-42.93,-73.53,-36.44,-30.36,1.09,1.11,-0.04,0.77,0.96,-0.38,46.22,50.77,41.66,47.0,50.39,43.62,6,恒瑞医药,,,
76,sh.600276,2024-10-17,2024-10-21,49.22,50.56,2.72,50.12,47.82,44.49,-4.6,9.01,-54.35,-50.36,-54.35,-45.59,1.78,1.8,-0.04,1.67,1.76,-0.19,47.82,55.51,40.14,48.36,55.98,40.74,4,恒瑞医药,,,
82,sh.600332,2024-10-17,2024-10-21,27.69,28.67,3.54,28.26,27.16,28.34,-13.44,11.86,-67.6,-64.99,-64.01,-53.61,0.31,0.2,0.22,0.33,0.24,0.16,27.16,31.4,22.91,27.52,31.53,23.51,4,白云山,,,
83,sh.600346,2023-11-10,2023-11-15,14.16,14.2,0.28,14.3,14.15,14.48,-1.01,7.01,-38.58,-53.73,-38.58,-36.55,-0.0,-0.03,0.06,-0.03,-0.03,-0.0,14.15,15.13,13.17,14.14,15.11,13.16,5,恒力石化,,,
84,sh.600346,2024-10-17,2024-10-21,13.95,14.44,3.51,14.55,13.84,13.58,-13.29,5.84,-68.19,-68.22,-64.31,-54.71,0.4,0.4,-0.0,0.36,0.39,-0.06,13.84,16.45,11.23,14.06,16.48,11.64,4,恒力石化,,,
85,sh.600362,2024-10-16,2024-10-21,22.44,23.03,2.63,22.88,21.26,20.86,-1.8,21.85,-59.08,-64.12,-51.72,-44.72,0.8,0.67,0.26,0.69,0.69,0.01,21.26,25.41,17.11,21.85,25.4,18.31,5,江西铜业,,,
86,sh.600372,2024-05-15,2024-05-17,12.12,12.4,2.31,12.37,12.05,11.77,-2.97,11.24,-60.55,-37.25,-36.67,-21.11,0.19,0.19,0.0,0.17,0.18,-0.02,12.05,12.93,11.17,12.16,12.81,11.5,2,中航机载,,,
88,sh.600372,2024-10-17,2024-10-21,12.35,12.95,4.86,12.62,11.78,11.88,-2.41,26.38,-50.8,-40.56,-47.75,-32.75,0.39,0.3,0.17,0.4,0.33,0.12,11.78,14.05,9.51,12.0,14.2,9.8,4,中航机载,,,
91,sh.600377,2024-02-27,2024-02-28,11.85,11.95,0.84,12.08,11.77,10.99,-0.2,5.51,-53.9,-46.81,-38.97,-33.85,0.29,0.33,-0.07,0.27,0.32,-0.09,11.77,12.68,10.86,11.82,12.64,11.0,1,宁沪高速,,,
92,sh.600406,2023-05-25,2023-05-30,26.9,27.52,2.3,27.33,26.82,26.81,-4.34,31.33,-53.7,-43.68,-43.4,-23.9,0.2,0.2,-0.01,0.14,0.17,-0.05,26.82,28.48,25.17,27.06,28.29,25.83,5,国电南瑞,,,
93,sh.600406,2025-04-22,2025-04-24,23.06,23.13,0.3,23.35,22.87,22.98,-5.15,11.46,-47.6,-45.51,-47.6,-45.51,0.17,0.12,0.09,0.12,0.12,0.0,22.87,24.2,21.54,22.92,24.23,21.62,2,国电南瑞,,,
95,sh.600426,2024-10-16,2024-10-21,23.13,23.35,0.95,23.68,22.51,23.06,-5.02,4.81,-66.47,-74.18,-63.13,-60.67,0.48,0.38,0.19,0.31,0.36,-0.1,22.51,26.63,18.4,22.87,26.67,19.06,5,华鲁恒升,,,
96,sh.600436,2024-10-16,2024-10-21,226.4,242.0,6.89,236.6,221.72,213.75,-7.38,18.33,-64.86,-54.78,-61.35,-44.83,8.74,8.47,0.54,7.14,7.79,-1.29,221.72,268.89,174.54,226.12,271.01,181.23,5,片仔癀,,,
97,sh.600438,2023-02-07,2023-02-09,40.72,41.16,1.08,41.37,40.58,,-0.23,5.87,-59.73,-50.56,-40.29,-32.37,0.6,0.66,-0.12,0.51,0.61,-0.2,40.58,43.04,38.12,40.88,42.57,39.18,2,通威股份,,,
98,sh.600438,2024-10-17,2024-10-21,20.03,21.65,8.09,20.64,19.96,18.97,-6.98,25.47,-65.8,-50.14,-65.8,-44.82,0.58,0.62,-0.08,0.57,0.6,-0.05,19.96,23.61,16.31,20.17,23.82,16.51,4,通威股份,,,
99,sh.600460,2023-02-08,2023-02-09,35.23,36.88,4.68,35.84,34.66,,-3.24,53.76,-40.91,-3.56,-33.4,-2.78,0.65,0.62,0.06,0.73,0.64,0.16,34.66,37.33,31.98,34.89,37.49,32.28,1,士兰微,,,
101,sh.600482,2023-07-11,2023-07-13,22.14,22.35,0.95,22.19,21.4,19.13,-2.27,9.4,-54.49,-56.12,-38.61,-35.64,0.96,1.05,-0.18,0.82,0.97,-0.31,21.4,25.14,17.65,21.76,24.93,18.59,2,中国动力,,,
102,sh.600489,2023-04-24,2023-04-25,11.25,11.73,4.27,11.64,11.21,9.75,-7.86,12.92,-57.8,-54.55,-43.15,-26.71,0.52,0.61,-0.18,0.49,0.58,-0.18,11.21,12.93,9.49,11.29,12.95,9.63,1,中金黄金,,,
103,sh.600515,2023-04-18,2023-04-20,4.61,4.75,3.04,4.65,4.55,4.46,-5.07,37.09,-58.21,-50.0,-40.62,-26.04,0.09,0.09,-0.0,0.08,0.09,-0.01,4.55,5.05,4.05,4.6,5.02,4.19,2,海南机场,,,
107,sh.600519,2024-05-14,2024-05-17,1701.98,1715.0,0.76,1733.39,1701.55,1698.48,-2.75,3.98,-57.09,-65.72,-52.74,-43.68,12.19,11.28,1.82,7.31,9.74,-4.87,1701.55,1779.6,1623.5,1708.67,1776.33,1641.02,3,贵州茅台,,,
108,sh.600519,2024-10-16,2024-10-21,1522.5,1528.8,0.41,1584.75,1468.51,1439.2,-1.39,3.4,-58.71,-74.16,-58.34,-57.39,53.97,46.78,14.38,38.15,44.18,-12.07,1468.51,1795.48,1141.55,1492.08,1807.45,1176.71,5,贵州茅台,,,
109,sh.600547,2023-04-26,2023-04-27,25.25,25.96,2.81,25.47,24.84,21.51,-2.96,19.13,-71.43,-49.85,-32.46,-24.74,1.13,1.36,-0.45,1.09,1.3,-0.42,24.84,28.71,20.97,25.07,28.62,21.52,1,山东黄金,,,
