,code,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5日均线,D1_20日均线,D1_60日均线,D1_J值,D2_J值,D1_WR14,D2_WR14,D1_WR28,D2_WR28,D1_MACD_DIF,D1_MACD_DEA,D1_MACD,D2_MACD_DIF,D2_MACD_DEA,D2_MACD,D1_BOLL中轨,D1_BOLL上轨,D1_BOLL下轨,D2_BOLL中轨,D2_BOLL上轨,D2_BOLL下轨,持仓天数,code_name,5日收益率,10日收益率,30日收益率
0,sh.600031,2025-03-21,2025-03-24,19.59,19.96,1.89,19.96,19.4,,-12.22,5.34,-52.02,-50.97,-29.07,-20.52,0.73,0.85,-0.23,0.7,0.82,-0.25,19.4,21.36,17.45,19.51,21.34,17.68,3,三一重工,,,
1,sh.600039,2025-03-31,2025-04-01,7.94,8.0,0.76,8.08,7.86,,-2.61,3.86,-55.0,-60.32,-29.33,-27.54,0.22,0.24,-0.04,0.2,0.23,-0.06,7.86,8.51,7.21,7.89,8.5,7.28,1,四川路桥,,,
2,sh.600050,2025-03-03,2025-03-06,6.22,6.53,4.98,6.42,5.97,,-9.64,26.33,-46.71,-47.06,-32.87,-18.52,0.36,0.37,-0.02,0.31,0.34,-0.08,5.97,7.23,4.71,6.17,7.13,5.21,3,中国联通,,,
4,sh.600161,2025-02-13,2025-02-14,20.31,20.67,1.77,20.63,20.19,,-12.86,10.68,-43.24,-31.41,-40.17,-25.1,0.2,0.19,0.02,0.19,0.19,0.01,20.19,21.74,18.63,20.24,21.78,18.7,1,天坛生物,,,
5,sh.600406,2025-04-22,2025-04-24,23.06,23.13,0.3,23.35,22.87,22.98,-5.15,11.46,-47.6,-45.51,-47.6,-45.51,0.17,0.13,0.09,0.13,0.13,-0.0,22.87,24.2,21.54,22.92,24.23,21.62,2,国电南瑞,,,
7,sh.600588,2025-02-27,2025-03-03,16.08,16.4,1.99,16.69,15.2,,-5.73,13.7,-58.02,-60.52,-32.36,-29.46,1.53,1.66,-0.26,1.26,1.53,-0.53,15.2,20.47,9.92,15.74,19.88,11.6,4,用友网络,,,
9,sh.601006,2025-02-25,2025-02-26,6.65,6.73,1.2,6.75,6.62,,-6.14,5.37,-63.46,-51.02,-39.76,-30.12,0.07,0.07,0.0,0.07,0.07,-0.0,6.62,6.99,6.26,6.65,6.98,6.31,1,大秦铁路,,,
10,sh.601127,2025-04-24,2025-04-30,128.86,130.28,1.1,129.85,127.77,127.11,-1.62,38.17,-34.97,-62.82,-34.97,-29.44,1.11,0.95,0.3,0.6,0.79,-0.38,127.77,137.62,117.91,128.15,137.98,118.32,6,赛力斯,,,
13,sh.601360,2025-02-18,2025-02-21,11.74,12.26,4.43,12.63,11.56,,-8.84,4.03,-58.33,-56.02,-51.25,-41.63,0.72,0.71,0.02,0.54,0.64,-0.22,11.56,14.47,8.65,11.83,14.51,9.15,3,三六零,,,
14,sh.601398,2025-02-26,2025-02-27,6.88,6.93,0.73,6.93,6.84,,-1.65,17.04,-49.06,-42.0,-35.14,-28.38,0.06,0.06,-0.0,0.06,0.06,-0.01,6.84,7.18,6.5,6.86,7.15,6.58,1,工商银行,,,
15,sh.601728,2025-02-28,2025-03-05,7.75,8.04,3.74,8.04,7.75,,-9.07,12.2,-78.18,-55.88,-43.43,-28.79,0.24,0.27,-0.04,0.19,0.24,-0.08,7.75,8.71,6.78,7.89,8.59,7.18,5,中国电信,,,
16,sh.601877,2025-03-03,2025-03-06,23.18,23.74,2.42,23.74,23.04,,-2.49,16.03,-61.98,-48.51,-53.63,-44.62,0.49,0.51,-0.03,0.36,0.44,-0.18,23.04,25.47,20.61,23.27,25.45,21.1,3,正泰电器,,,
17,sh.603259,2025-02-28,2025-03-06,61.13,62.38,2.04,62.82,60.33,,-2.57,12.18,-64.96,-70.61,-48.56,-43.95,2.23,2.29,-0.12,1.42,1.87,-0.9,60.33,67.34,53.33,61.24,66.9,55.57,6,药明康德,,,
19,sh.603501,2025-03-03,2025-03-05,142.68,145.08,1.68,145.61,136.11,,-3.85,2.71,-47.66,-54.54,-31.46,-27.55,10.05,10.88,-1.66,8.81,10.22,-2.81,136.11,168.31,103.9,139.73,165.73,113.73,2,韦尔股份,,,
21,sh.688041,2025-04-25,2025-04-29,147.21,150.1,1.96,150.07,145.87,147.39,-3.18,11.66,-38.8,-43.46,-35.56,-25.82,0.73,0.36,0.75,0.72,0.48,0.49,145.87,157.74,134.01,146.69,158.26,135.12,4,海光信息,,,
22,sh.688111,2025-02-19,2025-02-21,365.0,371.6,1.81,374.2,334.75,,-4.55,3.86,-33.24,-38.84,-27.36,-23.23,27.4,26.5,1.79,24.7,26.02,-2.64,334.75,430.21,239.29,344.06,431.86,256.27,2,金山办公,,,
24,sh.688506,2025-03-12,2025-03-14,210.52,212.02,0.71,213.3,206.75,,-1.05,14.41,-51.81,-82.44,-43.31,-40.99,6.05,6.64,-1.17,4.97,6.1,-2.26,206.75,239.88,173.62,209.47,238.54,180.41,2,百利天恒,,,
26,sz.000408,2025-03-26,2025-03-31,35.7,35.84,0.39,36.05,34.95,,-8.62,0.24,-43.71,-64.67,-34.82,-34.22,1.09,1.23,-0.28,0.88,1.09,-0.41,34.95,38.87,31.03,35.48,38.73,32.23,5,藏格矿业,,,
27,sz.000625,2025-02-20,2025-02-24,13.28,13.33,0.38,13.4,13.14,,-6.37,8.35,-62.01,-64.62,-57.96,-55.92,0.16,0.16,0.01,0.14,0.15,-0.03,13.14,14.1,12.18,13.19,14.13,12.25,4,长安汽车,,,
28,sz.000876,2025-03-04,2025-03-07,9.66,9.79,1.35,9.67,9.4,,-2.19,34.36,-57.14,-70.12,-51.61,-46.37,0.27,0.29,-0.04,0.22,0.26,-0.07,9.4,10.62,8.18,9.56,10.58,8.54,3,新希望,,,
30,sz.002049,2025-03-19,2025-03-25,67.91,68.39,0.71,68.94,67.38,,-12.81,35.42,-42.92,-54.62,-42.92,-38.87,1.66,1.83,-0.33,0.96,1.42,-0.92,67.38,73.31,61.44,67.87,73.31,62.43,6,紫光国微,,,
31,sz.002074,2025-03-10,2025-03-11,23.11,23.16,0.22,23.31,22.9,,-2.12,1.48,-62.31,-63.53,-40.83,-39.61,0.52,0.59,-0.13,0.48,0.57,-0.16,22.9,24.12,21.67,22.97,24.08,21.86,1,国轩高科,,,
32,sz.002241,2025-02-18,2025-02-19,27.7,28.54,3.03,28.28,27.41,,-9.06,10.03,-64.63,-43.26,-37.85,-25.34,0.81,0.89,-0.16,0.79,0.87,-0.16,27.41,30.73,24.09,27.57,30.77,24.37,1,歌尔股份,,,
33,sz.002555,2025-02-20,2025-02-21,15.81,16.41,3.8,16.14,15.54,,-4.21,23.13,-51.53,-27.36,-39.86,-19.59,0.33,0.3,0.06,0.34,0.31,0.07,15.54,16.82,14.26,15.62,16.91,14.33,1,三七互娱,,,
34,sz.002555,2025-02-26,2025-02-27,15.82,15.88,0.38,16.0,15.79,,-0.44,5.2,-87.31,-78.17,-39.53,-37.5,0.26,0.3,-0.08,0.24,0.29,-0.1,15.79,16.9,14.67,15.84,16.83,14.86,1,三七互娱,,,
36,sz.300628,2025-02-14,2025-02-20,41.04,41.08,0.1,41.88,40.69,,-3.69,11.96,-85.44,-77.53,-39.52,-39.01,0.96,1.05,-0.16,0.59,0.83,-0.48,40.69,44.4,36.98,41.38,43.05,39.7,6,亿联网络,,,
