code,code_name,信号日期,当日收盘价,5日均线,20日均线,60日均线,当日J值,前一日J值,5日收益率,10日收益率,30日收益率
sh.600377,宁沪高速,2024-02-27,11.85,12.08,11.77,,-0.2,19.8,2.95,-3.71,-0.51
sh.601601,中国太保,2024-02-28,25.43,26.28,25.35,,-0.79,43.49,-1.42,-8.38,-13.06
sh.601628,中国人寿,2024-02-28,30.0,30.77,29.68,,-3.02,37.63,-2.1,-3.6,-11.57
sz.300760,迈瑞医疗,2024-02-28,288.0,291.07,286.37,,-6.7,17.94,3.51,3.75,-6.03
sh.600585,海螺水泥,2024-03-01,23.77,23.95,23.76,,-9.05,3.21,0.13,-1.18,-4.08
sh.600887,伊利股份,2024-03-01,28.26,28.38,28.05,,-2.38,10.06,0.14,1.98,-3.64
sh.601628,中国人寿,2024-03-01,29.95,30.22,29.91,,-2.85,0.2,-2.9,-4.34,-9.42
sz.000301,东方盛虹,2024-03-01,10.39,10.55,10.34,,-12.23,1.76,1.92,0.38,-2.5
sh.600000,浦发银行,2024-03-04,7.07,7.11,7.03,,-4.33,16.67,0.57,0.28,3.82
sh.600919,江苏银行,2024-03-04,7.56,7.63,7.52,,-1.89,26.92,2.12,0.66,6.88
sh.601818,光大银行,2024-03-04,3.2,3.21,3.19,,-1.41,21.67,1.56,1.56,-1.88
sz.002352,顺丰控股,2024-03-04,37.89,38.22,37.24,,-14.3,2.93,0.48,2.77,-8.02
sh.601336,新华保险,2024-03-06,31.6,32.23,31.56,,-1.38,13.11,-1.99,-0.63,-5.22
sz.000001,平安银行,2024-03-06,10.33,10.43,10.12,,-4.9,11.56,0.0,1.16,3.48
sz.002311,海大集团,2024-03-06,42.15,42.69,41.62,,-9.29,13.32,5.58,4.84,14.02
sh.600061,国投资本,2024-03-07,6.72,6.79,6.69,,-5.58,4.39,-0.6,0.3,-7.59
sh.601236,红塔证券,2024-03-07,7.42,7.56,7.41,,-8.27,3.96,-0.4,1.08,-5.66
sh.603288,海天味业,2024-03-07,39.36,40.13,38.8,,-3.98,26.49,4.73,3.61,-3.46
sz.000858,五粮液,2024-03-07,138.25,140.36,136.74,,-5.42,23.9,8.18,13.28,4.56
sz.002415,海康威视,2024-03-07,33.95,34.91,33.85,,-4.52,20.19,-1.41,-1.74,-3.24
sz.300059,东方财富,2024-03-07,13.57,13.79,13.45,,-4.2,20.43,0.44,1.99,-8.77
sz.300442,润泽科技,2024-03-07,24.85,25.99,23.26,,-4.09,18.86,-3.14,13.12,12.8
sh.600176,中国巨石,2024-03-08,9.77,9.88,9.77,,-5.24,12.25,4.2,-0.31,24.46
sh.600741,华域汽车,2024-03-08,17.12,17.22,16.99,,-5.31,6.89,0.0,-2.69,3.27
sh.600918,中泰证券,2024-03-08,6.77,6.8,6.73,,-2.77,2.04,1.48,0.15,-7.53
sh.601136,首创证券,2024-03-08,20.8,21.19,20.44,,-4.21,9.8,1.97,-0.38,-2.31
sh.601689,拓普集团,2024-03-08,54.84,56.45,53.74,,-6.52,6.66,11.25,14.22,-1.53
sz.000568,泸州老窖,2024-03-08,165.83,168.98,163.14,,-5.05,3.78,13.13,10.44,9.15
sz.002007,华兰生物,2024-03-08,19.35,19.59,19.22,,-0.59,6.61,5.79,1.29,-1.4
sz.002709,天赐材料,2024-03-08,19.34,19.83,19.06,,-3.33,13.04,13.34,7.91,7.45
sz.002736,国信证券,2024-03-08,8.47,8.53,8.36,,-0.21,9.4,0.94,0.59,2.48
sh.600160,巨化股份,2024-03-11,19.75,20.28,19.5,,-0.39,17.16,11.65,11.44,11.39
sh.601901,方正证券,2024-03-13,7.44,7.5,7.37,,-8.71,1.28,7.39,2.82,19.62
sh.600875,东方电气,2024-03-14,15.9,16.19,15.84,,-1.32,17.88,0.0,-2.83,8.3
sh.601766,中国中车,2024-03-14,6.5,6.64,6.4,,-2.02,11.93,-0.62,1.85,9.08
sz.000800,一汽解放,2024-03-14,8.62,8.66,8.56,,-2.26,7.89,6.5,4.64,5.45
sz.000977,浪潮信息,2024-03-14,39.3,40.81,37.87,,-1.48,21.72,4.48,12.85,-2.06
sz.002049,紫光国微,2024-03-14,68.72,70.62,66.19,,-1.31,12.81,0.0,-4.6,-13.01
sh.600660,福耀玻璃,2024-03-15,43.65,44.23,43.28,,-10.85,8.79,-2.84,-0.89,14.16
sh.603296,华勤技术,2024-03-15,73.3,75.03,70.87,,-0.82,13.29,2.59,12.82,-1.0
sh.600905,三峡能源,2024-03-19,4.72,4.74,4.7,,-2.93,11.65,-0.42,1.06,-0.42
sh.600089,特变电工,2024-03-20,15.76,15.83,15.6,,-2.78,4.89,-4.06,-1.4,-9.26
sh.601877,正泰电器,2024-03-21,20.95,21.24,20.95,,-2.59,29.78,-3.77,-6.49,-0.24
sz.000538,云南白药,2024-03-21,51.0,51.32,50.86,,-0.92,27.41,-0.98,0.39,10.76
sz.002180,纳思达,2024-03-21,24.25,25.17,24.22,,-0.91,21.89,-5.32,-2.43,4.25
sh.605117,德业股份,2024-03-22,94.99,98.93,92.73,,-8.08,12.14,-5.23,-0.52,4.75
sz.300274,阳光电源,2024-03-25,102.6,104.0,98.57,,-3.08,5.61,6.28,-2.95,2.34
sh.600415,小商品城,2024-03-26,8.8,8.97,8.77,,-6.29,10.18,-0.45,-2.05,-3.64
sz.300274,阳光电源,2024-03-27,102.08,103.0,100.4,,-4.6,1.84,2.74,-5.68,3.02
