,date,code,open,high,low,close,preclose,volume,amount,turn
0,2025-02-05,sh.600000,10.6600,10.6900,10.4000,10.4100,10.6500,51723455,542382244.5300,0.176200
1,2025-02-06,sh.600000,10.3800,10.5000,10.3000,10.4300,10.4100,38598431,400818916.7100,0.131500
2,2025-02-07,sh.600000,10.4300,10.4500,10.3000,10.3400,10.4300,45600119,472723880.7700,0.155400
3,2025-02-10,sh.600000,10.3200,10.4400,10.2300,10.2700,10.3400,41234671,426297964.4000,0.140500
4,2025-02-11,sh.600000,10.2900,10.3800,10.2300,10.3000,10.2700,34651727,356843469.5200,0.118100
5,2025-02-12,sh.600000,10.3200,10.4200,10.2400,10.4100,10.3000,33100308,342797073.5200,0.112800
6,2025-02-13,sh.600000,10.3900,10.4400,10.3000,10.3100,10.4100,48454342,501218511.0600,0.165100
7,2025-02-14,sh.600000,10.3500,10.4300,10.2500,10.4100,10.3100,56300581,581842513.4400,0.191800
8,2025-02-17,sh.600000,10.4400,10.4600,10.2000,10.2700,10.4100,52311132,538356330.5200,0.178200
9,2025-02-18,sh.600000,10.2600,10.5400,10.2100,10.5000,10.2700,62783988,654395130.6400,0.213900
10,2025-02-19,sh.600000,10.4500,10.5900,10.4200,10.4400,10.5000,42364339,444710362.3200,0.144300
11,2025-02-20,sh.600000,10.4200,10.4900,10.3400,10.3900,10.4400,27223599,283297509.8500,0.092700
12,2025-02-21,sh.600000,10.3900,10.4300,10.2300,10.2900,10.3900,50391537,519161892.6100,0.171700
13,2025-02-24,sh.600000,10.2700,10.3100,10.1900,10.2100,10.2900,43741415,447600690.0000,0.149000
14,2025-02-25,sh.600000,10.2000,10.2500,10.0700,10.1000,10.2100,37159866,377213136.9500,0.126600
15,2025-02-26,sh.600000,10.1500,10.3200,10.1200,10.1800,10.1000,55536705,567601087.6200,0.189200
16,2025-02-27,sh.600000,10.2200,10.2600,10.1100,10.2400,10.1800,37999169,387232885.4000,0.129500
17,2025-02-28,sh.600000,10.2300,10.3000,10.1700,10.1700,10.2400,44651100,457102787.8200,0.152100
18,2025-02-05,sh.600009,33.3500,33.3900,32.9100,33.0100,33.1600,6013981,198668272.9000,0.313400
19,2025-02-06,sh.600009,32.9100,33.2000,32.7100,33.1200,33.0100,6347730,209367317.4300,0.330800
