,date,code,open,high,low,close,preclose,volume,amount,turn
0,2025-01-02,sh.600000,10.3000,10.4200,10.0500,10.1300,10.2900,78907129,803904040.2300,0.268800
1,2025-01-03,sh.600000,10.1200,10.2200,10.0200,10.0600,10.1300,50693944,511576493.6000,0.172700
2,2025-01-06,sh.600000,10.1300,10.2000,9.8100,10.1500,10.0600,79801276,804593503.5600,0.271900
3,2025-01-07,sh.600000,10.1100,10.3000,10.1100,10.2700,10.1500,40265146,411488491.5100,0.137200
4,2025-01-08,sh.600000,10.2600,10.3700,10.2000,10.3000,10.2700,48237450,496301044.8100,0.164300
5,2025-01-09,sh.600000,10.3300,10.3300,10.1300,10.1900,10.3000,39221854,401208214.9300,0.133600
6,2025-01-10,sh.600000,10.2300,10.2800,10.0300,10.1300,10.1900,31933534,324388873.2600,0.108800
7,2025-01-13,sh.600000,10.0600,10.1300,9.8500,10.0000,10.1300,38217749,381632220.0900,0.130200
8,2025-01-14,sh.600000,10.0300,10.2100,9.9400,10.1600,10.0000,38658714,390328865.8300,0.131700
9,2025-01-15,sh.600000,10.1600,10.3900,10.1300,10.2100,10.1600,38460814,394080519.9700,0.131000
10,2025-01-16,sh.600000,10.2900,10.3100,10.1300,10.2100,10.2100,33768888,344708149.6900,0.115000
11,2025-01-17,sh.600000,10.2500,10.3000,10.0800,10.2700,10.2100,41663218,426549432.1800,0.141900
12,2025-01-20,sh.600000,10.3200,10.4500,10.2300,10.3700,10.2700,37442622,388948241.4700,0.127600
13,2025-01-21,sh.600000,10.3600,10.4800,10.2700,10.3700,10.3700,30852134,320946733.2000,0.105100
14,2025-01-22,sh.600000,10.3300,10.3800,10.0100,10.0300,10.3700,58374206,589944613.7000,0.198900
15,2025-01-23,sh.600000,10.1100,10.3700,10.0600,10.3100,10.0300,65580692,670951809.4200,0.223400
16,2025-01-24,sh.600000,10.2600,10.4900,10.1700,10.3900,10.3100,72463834,752560118.1100,0.246900
17,2025-01-27,sh.600000,10.4200,10.7000,10.4000,10.6500,10.3900,59488208,632694603.2700,0.202700
18,2025-02-05,sh.600000,10.6600,10.6900,10.4000,10.4100,10.6500,51723455,542382244.5300,0.176200
19,2025-02-06,sh.600000,10.3800,10.5000,10.3000,10.4300,10.4100,38598431,400818916.7100,0.131500
20,2025-02-07,sh.600000,10.4300,10.4500,10.3000,10.3400,10.4300,45600119,472723880.7700,0.155400
21,2025-02-10,sh.600000,10.3200,10.4400,10.2300,10.2700,10.3400,41234671,426297964.4000,0.140500
22,2025-02-11,sh.600000,10.2900,10.3800,10.2300,10.3000,10.2700,34651727,356843469.5200,0.118100
23,2025-02-12,sh.600000,10.3200,10.4200,10.2400,10.4100,10.3000,33100308,342797073.5200,0.112800
24,2025-02-13,sh.600000,10.3900,10.4400,10.3000,10.3100,10.4100,48454342,501218511.0600,0.165100
