,updateDate,code,code_name
0,2025-03-17,sh.600000,浦发银行
1,2025-03-17,sh.600009,上海机场
2,2025-03-17,sh.600010,包钢股份
3,2025-03-17,sh.600011,华能国际
4,2025-03-17,sh.600015,华夏银行
5,2025-03-17,sh.600016,民生银行
6,2025-03-17,sh.600018,上港集团
7,2025-03-17,sh.600019,宝钢股份
8,2025-03-17,sh.600023,浙能电力
9,2025-03-17,sh.600025,华能水电
10,2025-03-17,sh.600026,中远海能
11,2025-03-17,sh.600027,华电国际
12,2025-03-17,sh.600028,中国石化
13,2025-03-17,sh.600029,南方航空
14,2025-03-17,sh.600030,中信证券
15,2025-03-17,sh.600031,三一重工
16,2025-03-17,sh.600036,招商银行
17,2025-03-17,sh.600039,四川路桥
18,2025-03-17,sh.600048,保利发展
19,2025-03-17,sh.600050,中国联通
20,2025-03-17,sh.600061,国投资本
21,2025-03-17,sh.600066,宇通客车
22,2025-03-17,sh.600085,同仁堂
23,2025-03-17,sh.600089,特变电工
24,2025-03-17,sh.600104,上汽集团
25,2025-03-17,sh.600111,北方稀土
26,2025-03-17,sh.600115,中国东航
27,2025-03-17,sh.600150,中国船舶
28,2025-03-17,sh.600160,巨化股份
29,2025-03-17,sh.600161,天坛生物
30,2025-03-17,sh.600176,中国巨石
31,2025-03-17,sh.600183,生益科技
32,2025-03-17,sh.600188,兖矿能源
33,2025-03-17,sh.600196,复星医药
34,2025-03-17,sh.600219,南山铝业
35,2025-03-17,sh.600233,圆通速递
36,2025-03-17,sh.600276,恒瑞医药
37,2025-03-17,sh.600309,万华化学
38,2025-03-17,sh.600332,白云山
39,2025-03-17,sh.600346,恒力石化
40,2025-03-17,sh.600362,江西铜业
41,2025-03-17,sh.600372,中航机载
42,2025-03-17,sh.600377,宁沪高速
43,2025-03-17,sh.600406,国电南瑞
44,2025-03-17,sh.600415,小商品城
45,2025-03-17,sh.600426,华鲁恒升
46,2025-03-17,sh.600436,片仔癀
47,2025-03-17,sh.600438,通威股份
48,2025-03-17,sh.600460,士兰微
49,2025-03-17,sh.600482,中国动力
50,2025-03-17,sh.600489,中金黄金
51,2025-03-17,sh.600515,海南机场
52,2025-03-17,sh.600519,贵州茅台
53,2025-03-17,sh.600547,山东黄金
54,2025-03-17,sh.600570,恒生电子
55,2025-03-17,sh.600584,长电科技
56,2025-03-17,sh.600585,海螺水泥
57,2025-03-17,sh.600588,用友网络
58,2025-03-17,sh.600600,青岛啤酒
59,2025-03-17,sh.600660,福耀玻璃
60,2025-03-17,sh.600674,川投能源
61,2025-03-17,sh.600690,海尔智家
62,2025-03-17,sh.600741,华域汽车
63,2025-03-17,sh.600745,闻泰科技
64,2025-03-17,sh.600760,中航沈飞
65,2025-03-17,sh.600795,国电电力
66,2025-03-17,sh.600803,新奥股份
67,2025-03-17,sh.600809,山西汾酒
68,2025-03-17,sh.600845,宝信软件
69,2025-03-17,sh.600875,东方电气
70,2025-03-17,sh.600886,国投电力
71,2025-03-17,sh.600887,伊利股份
72,2025-03-17,sh.600893,航发动力
73,2025-03-17,sh.600900,长江电力
74,2025-03-17,sh.600905,三峡能源
75,2025-03-17,sh.600918,中泰证券
76,2025-03-17,sh.600919,江苏银行
77,2025-03-17,sh.600926,杭州银行
78,2025-03-17,sh.600938,中国海油
79,2025-03-17,sh.600941,中国移动
80,2025-03-17,sh.600958,东方证券
81,2025-03-17,sh.600989,宝丰能源
82,2025-03-17,sh.600999,招商证券
83,2025-03-17,sh.601006,大秦铁路
84,2025-03-17,sh.601009,南京银行
