date,code,open,high,low,close,preclose,volume,amount,turn
2025-12-31 00:00:00,sh.603055,9.05,9.5,9.02,9.44,9.02,12980380,119922598.0,1.4633
2026-01-05 00:00:00,sh.600998,5.13,5.38,5.13,5.32,5.12,90416765,477188907.85,1.7931
2026-01-05 00:00:00,sh.605369,18.71,19.66,18.71,19.57,18.66,2758858,53124120.85,1.2512
2026-01-05 00:00:00,sz.300140,7.02,7.55,6.98,7.19,6.77,57124569,415075864.97,5.5998
2026-01-05 00:00:00,sz.300513,9.67,10.96,9.59,10.7,9.49,37036384,385229911.96,12.8475
2026-01-06 00:00:00,sh.600157,1.62,1.69,1.62,1.67,1.58,1558824711,2585007591.53,7.1448
2026-01-06 00:00:00,sh.600906,6.71,7.17,6.71,7.12,6.73,106211599,743610445.3,5.0
2026-01-06 00:00:00,sh.601568,3.78,4.01,3.78,3.98,3.77,72363349,284435746.75,1.8217
2026-01-06 00:00:00,sz.300163,4.08,4.58,4.07,4.44,4.07,85579500,375167237.0,18.8588
2026-01-06 00:00:00,sz.300821,12.08,13.96,12.08,13.18,12.05,122928499,1614085995.98,10.2458
2026-01-06 00:00:00,sz.300827,35.39,39.88,35.3,38.92,34.9,64974342,2489802218.15,16.861
2026-01-06 00:00:00,sz.300891,8.86,9.58,8.86,9.41,8.87,20934297,195777906.77,6.2975
2026-01-06 00:00:00,sz.300982,20.89,24.3,20.89,23.27,20.88,24404207,563591600.75,12.5862
2026-01-07 00:00:00,sh.600458,14.08,14.35,13.91,14.18,13.62,46675560,659832787.78,5.7642
2026-01-07 00:00:00,sh.603102,43.05,45.75,42.91,44.55,43.05,1752600,77678637.0,2.7384
2026-01-07 00:00:00,sh.603281,27.93,30.15,27.91,29.5,28.05,6698722,196593897.59,2.6615
2026-01-07 00:00:00,sz.000983,6.85,7.13,6.75,7.06,6.59,158134230,1095272964.51,3.4079
2026-01-08 00:00:00,sh.605198,37.4,40.78,37.35,39.91,37.76,4699635,185861156.5,1.7372
2026-01-08 00:00:00,sz.300492,77.6,87.5,77.6,87.45,76.94,4853137,407740585.7,2.4675
2026-01-09 00:00:00,sh.600108,3.3,3.61,3.28,3.53,3.28,198287544,705459451.73,10.1847
2026-01-09 00:00:00,sh.605116,28.68,30.74,28.27,30.69,28.27,17242239,505362800.92,4.2449
2026-01-09 00:00:00,sz.300553,40.3,47.86,40.26,46.36,39.88,18241515,829802778.49,21.6503
2026-01-09 00:00:00,sz.300729,13.98,14.54,13.92,14.39,13.97,9986922,142123066.17,3.1362
2026-01-12 00:00:00,sh.600088,17.1,18.59,17.09,18.34,16.9,24454646,440040568.03,6.1489
2026-01-12 00:00:00,sh.600398,6.15,6.4,6.12,6.32,6.15,77591149,485995177.05,1.6155
2026-01-12 00:00:00,sh.600452,9.66,10.63,9.66,10.42,9.68,97279005,997672614.56,6.331
2026-01-12 00:00:00,sh.600666,3.52,3.82,3.52,3.75,3.47,268849039,998470823.85,11.1106
2026-01-12 00:00:00,sh.601099,4.21,4.63,4.19,4.54,4.21,1047269948,4736317041.65,15.3642
2026-01-12 00:00:00,sh.601228,3.29,3.62,3.29,3.56,3.29,164077266,571067533.78,2.1748
2026-01-12 00:00:00,sh.603150,40.76,43.25,40.15,42.39,39.57,6301200,264415207.0,7.3713
2026-01-12 00:00:00,sh.603383,38.8,41.35,38.75,40.9,38.29,16260320,653594861.86,7.9173
2026-01-12 00:00:00,sh.605162,9.22,10.22,9.19,10.18,9.29,40886480,408534670.96,10.2067
2026-01-12 00:00:00,sz.000607,4.51,4.9,4.5,4.81,4.45,93593916,442731774.9,10.5752
2026-01-12 00:00:00,sz.000690,4.31,4.58,4.3,4.48,4.31,118768330,527285504.44,5.4619
2026-01-12 00:00:00,sz.000719,12.33,13.02,12.33,12.99,12.29,22683712,289288044.0,3.4001
2026-01-12 00:00:00,sz.000987,10.7,11.14,10.4,10.84,10.13,320818384,3464724386.45,6.3979
2026-01-12 00:00:00,sz.300085,41.74,49.8,41.68,48.84,41.74,126690378,5881355573.29,19.4307
2026-01-12 00:00:00,sz.300210,9.04,10.4,8.96,10.22,9.04,51542024,515117926.48,10.6546
2026-01-12 00:00:00,sz.300246,9.31,11.15,9.27,10.91,9.31,49951009,523095550.02,23.6419
2026-01-12 00:00:00,sz.300248,13.46,15.5,13.35,15.2,12.92,82087304,1191591326.25,20.0647
2026-01-12 00:00:00,sz.300453,9.15,9.57,9.1,9.48,9.12,17836000,167549507.03,4.9564
2026-01-12 00:00:00,sz.300656,23.36,25.52,23.18,25.34,22.95,14081738,346485932.75,10.5959
2026-01-12 00:00:00,sz.300662,27.1,30.68,27.1,30.24,26.74,20739105,614672141.54,10.5659
2026-01-12 00:00:00,sz.300692,8.76,9.55,8.56,9.42,8.61,34444553,314230518.99,8.3769
2026-01-12 00:00:00,sz.300783,23.82,25.88,23.81,25.69,23.8,38413460,966291098.83,13.7061
2026-01-12 00:00:00,sz.300788,29.88,32.15,29.39,31.72,29.12,11715058,362321999.79,6.1609
2026-01-12 00:00:00,sz.300892,31.7,35.99,31.51,35.68,31.7,11203607,379572665.51,17.3531
