date,code,open,high,low,close,preclose,volume,amount,turn
2025-12-29 00:00:00,sh.600602,17.99,19.25,17.91,18.79,17.98,41958218,785141250.02,3.9056
2025-12-29 00:00:00,sh.600927,15.53,16.55,15.46,16.08,15.49,22576385,362529970.29,1.551
2025-12-29 00:00:00,sh.600955,15.68,17.13,15.59,16.82,15.57,22945240,383954482.71,4.1719
2025-12-29 00:00:00,sh.605111,35.44,37.22,35.44,36.34,34.5,34698383,1272980004.99,8.3544
2025-12-29 00:00:00,sz.300980,29.25,32.91,29.0,32.21,28.82,19109190,602911957.58,19.4315
2025-12-30 00:00:00,sh.600765,18.87,20.28,18.44,19.18,18.44,158228716,3080384539.36,10.1919
2025-12-30 00:00:00,sh.603037,13.35,14.8,13.26,14.56,13.45,32106940,462917422.63,12.0638
2025-12-30 00:00:00,sh.603080,22.79,25.2,22.41,24.09,22.91,13515101,324032175.83,9.5513
2025-12-30 00:00:00,sh.603085,11.36,12.54,11.35,11.98,11.4,49707899,601978690.48,12.5177
2025-12-30 00:00:00,sh.603205,27.98,31.05,27.98,29.24,28.24,8121861,242256507.99,19.6465
2025-12-30 00:00:00,sh.603275,43.0,46.61,42.71,45.7,42.86,7013861,316532695.61,16.8862
2025-12-30 00:00:00,sh.603767,23.65,25.27,23.59,24.98,23.82,21851660,536264821.2,7.0802
2025-12-30 00:00:00,sz.300579,30.36,35.75,30.36,34.99,29.79,32320530,1123153306.48,12.323
2025-12-30 00:00:00,sz.300782,77.68,88.0,76.68,82.4,76.23,38402344,3185470876.03,8.5672
2025-12-30 00:00:00,sz.300828,16.1,16.94,16.1,16.85,16.2,7446750,123987576.0,5.9699
2025-12-30 00:00:00,sz.300879,29.12,31.21,28.92,30.53,29.15,9449324,286374583.42,4.7005
2025-12-31 00:00:00,sh.600273,8.44,8.83,8.44,8.74,8.43,32834428,284996677.28,2.4198
2025-12-31 00:00:00,sh.603055,9.05,9.5,9.02,9.44,9.02,12980380,119922598.0,1.4633
2025-12-31 00:00:00,sh.603726,23.93,24.81,23.01,24.2,22.55,26771396,646585457.17,14.494
2025-12-31 00:00:00,sz.300986,10.3,11.33,10.25,11.18,10.26,23878796,258108608.82,5.8007
2026-01-05 00:00:00,sh.600076,3.44,3.71,3.44,3.64,3.37,133411448,483121293.17,9.9224
2026-01-05 00:00:00,sh.600232,7.91,8.7,7.83,8.49,7.91,43100055,365690464.32,11.8173
2026-01-05 00:00:00,sh.600283,9.15,9.5,9.13,9.4,9.15,12891656,119977552.9,2.3691
2026-01-05 00:00:00,sh.600615,11.2,12.05,11.2,11.82,11.18,5951347,69590314.84,2.6419
2026-01-05 00:00:00,sh.600648,10.09,10.97,10.09,10.8,10.09,14134333,150379183.24,1.2423
2026-01-05 00:00:00,sh.600839,9.1,9.56,9.1,9.43,9.1,164004459,1521056052.75,3.5538
2026-01-05 00:00:00,sh.600998,5.13,5.38,5.13,5.32,5.12,90416765,477188907.85,1.7931
2026-01-05 00:00:00,sh.603309,13.68,14.9,13.68,14.59,13.59,21478718,310080720.43,7.359
2026-01-05 00:00:00,sh.603382,32.25,35.46,31.92,35.19,32.24,10848073,370058359.33,29.9255
2026-01-05 00:00:00,sh.603466,9.34,10.18,9.31,10.03,9.36,47461471,465785390.66,7.9796
2026-01-05 00:00:00,sh.603713,55.9,58.1,55.8,58.01,55.77,2328718,133322237.46,1.4727
2026-01-05 00:00:00,sh.605369,18.71,19.66,18.71,19.57,18.66,2758858,53124120.85,1.2512
2026-01-05 00:00:00,sz.000710,11.33,12.19,11.32,12.08,11.29,21087200,249380310.07,6.3992
2026-01-05 00:00:00,sz.000810,11.81,12.7,11.78,12.64,11.78,40887378,507483544.99,3.6815
2026-01-05 00:00:00,sz.300011,8.56,9.13,8.52,8.95,8.58,23413016,207241434.12,4.6156
2026-01-05 00:00:00,sz.300140,7.02,7.55,6.98,7.19,6.77,57124569,415075864.97,5.5998
2026-01-05 00:00:00,sz.300143,10.04,11.5,10.03,11.38,9.88,47316162,518100287.96,7.3774
2026-01-05 00:00:00,sz.300227,9.25,9.99,9.11,9.94,9.21,50870176,495630511.88,11.7465
2026-01-05 00:00:00,sz.300246,8.1,8.72,8.1,8.61,8.1,12035068,101962932.96,5.6962
2026-01-05 00:00:00,sz.300451,4.84,5.43,4.83,5.24,4.84,107642885,554822925.35,7.0507
2026-01-05 00:00:00,sz.300459,4.72,5.51,4.72,5.34,4.59,705116431,3647424846.01,21.4504
2026-01-05 00:00:00,sz.300513,9.67,10.96,9.59,10.7,9.49,37036384,385229911.96,12.8475
2026-01-05 00:00:00,sz.300678,32.0,36.7,32.0,36.0,30.76,47357008,1643726510.86,16.2583
2026-01-05 00:00:00,sz.300715,10.49,11.33,10.38,11.2,10.44,10618206,117141967.46,3.1776
2026-01-05 00:00:00,sz.300747,27.21,31.18,27.0,30.2,27.03,52532946,1541290047.74,10.3153
2026-01-05 00:00:00,sz.300793,16.75,18.61,16.71,18.46,16.31,55075845,979405837.43,14.8019
2026-01-05 00:00:00,sz.300976,60.47,68.68,60.47,67.7,60.07,8679658,568779837.9,10.0719
2026-01-06 00:00:00,sh.600157,1.62,1.69,1.62,1.67,1.58,1558824711,2585007591.53,7.1448
