code,code_name,D1日期,D2日期,D1收盘价,D2收盘价,D1-D2收益率,D1_5日均线,D1_20日均线,D1_60日均线,D1_J值,D2_J值,持仓天数
sh.600000,浦发银行,2024-06-06,2024-06-07,8.25,8.31,0.73,8.3,8.28,7.61,-1.78,7.73,1
sh.600000,浦发银行,2024-06-11,2024-06-12,8.15,8.11,-0.49,8.26,8.3,7.65,-0.2,1.41,1
sh.600000,浦发银行,2024-07-23,2024-07-29,8.59,8.53,-0.7,8.74,8.57,8.27,-5.29,14.22,6
sh.600000,浦发银行,2024-08-29,2024-09-06,8.55,8.43,-1.4,8.83,8.68,8.51,-1.19,16.74,8
sh.600000,浦发银行,2024-10-30,2024-10-31,9.94,9.84,-1.01,10.04,10.14,9.11,-1.59,9.68,1
sh.600000,浦发银行,2024-11-13,2024-11-18,9.63,9.83,2.08,9.87,10.01,9.36,-8.02,18.5,5
sh.600000,浦发银行,2025-02-25,2025-02-26,10.1,10.18,0.79,10.29,10.34,10.05,-4.23,3.84,1
sh.600009,上海机场,2024-10-16,2024-10-21,34.26,34.98,2.1,35.02,33.48,33.72,-7.4,9.74,5
sh.600009,上海机场,2024-11-22,2024-11-27,34.82,34.79,-0.09,35.76,35.82,34.24,-7.5,9.23,5
sh.600010,包钢股份,2024-04-23,2024-04-24,1.59,1.6,0.63,1.62,1.63,1.55,-0.14,8.73,1
sh.600010,包钢股份,2024-10-17,2024-10-21,1.58,1.61,1.9,1.63,1.54,1.47,-7.22,2.9,4
sh.600010,包钢股份,2024-11-18,2024-11-21,1.92,1.92,0.0,1.98,1.89,1.62,-7.03,2.09,3
sh.600010,包钢股份,2024-12-17,2024-12-26,1.95,1.89,-3.08,2.02,1.99,1.82,-6.82,0.18,9
sh.600011,华能国际,2024-04-22,2024-04-24,9.5,9.72,2.32,9.73,9.57,9.08,-1.04,13.89,2
sh.600015,华夏银行,2024-05-06,2024-05-08,6.67,6.67,0.0,6.75,6.69,6.42,-3.23,0.58,2
sh.600015,华夏银行,2024-06-03,2024-06-04,6.81,6.85,0.59,6.9,6.85,6.64,-1.16,6.51,1
sh.600015,华夏银行,2024-06-05,2024-06-07,6.77,6.79,0.3,6.84,6.87,6.65,-4.84,3.12,2
sh.600015,华夏银行,2024-06-11,2024-06-12,6.68,6.66,-0.3,6.76,6.87,6.67,-6.17,7.05,1
